Neighborhood,Latitude,Longitude,ATIVO,OBITO,RECUPERADO,Population,Cluster
CURICICA,-22.9519909,-43.3872901,74,87,971,34308,2
DEL CASTILHO,-22.8795618,-43.272420200000006,54,59,954,17171,0
DEODORO,-22.851201,-43.3870315,8,31,220,11926,0
ENCANTADO,-22.897474300000006,-43.3042461,35,44,405,16523,0
ENGENHEIRO LEAL,-22.8743923,-43.3255315,10,10,82,6724,0
ENGENHO DA RAINHA,-22.8626496,-43.2937874,50,63,759,29325,0
ENGENHO DE DENTRO,-22.9026591,-43.29677570000001,116,164,1831,50094,2
ENGENHO NOVO,-22.9090942,-43.2678381,99,94,1567,46389,2
ESTACIO,-22.916626500000003,-43.20363,33,45,693,18908,0
FLAMENGO,-22.9339841,-43.1745744,163,144,2864,55047,2
FREGUESIA-ILHA,-22.7850602,-43.1694534,42,45,282,21381,0
FREGUESIA-JPA,-22.9408899,-43.342256400000004,225,230,2373,77562,1
GALEAO,-22.8075065,-43.2355215,33,37,772,25268,0
GAMBOA,-22.8977491,-43.1929041,15,20,189,14419,0
GARDENIA AZUL,-22.9582866,-43.3512241,43,65,499,19487,0
GAVEA,-22.9814243,-43.2383245,91,79,1379,17603,2
GERICINO,-22.84179015,-43.47737267671482,1,8,31,16684,0
GLORIA,-22.9183225,-43.1739232,17,4,576,10627,0
GRAJAU,-22.9298842,-43.2695499,72,109,1610,42538,2
GRUMARI,-23.0470388,-43.5334787,0,0,2,184,0
GUADALUPE,-22.8376208,-43.3751608,73,158,1088,51858,2
GUARATIBA,-22.9905839,-43.584923,106,241,1506,121054,2
HIGIENOPOLIS,-22.873999,-43.2613682,26,31,619,17307,0
HONORIO GURGEL,-22.846575100000006,-43.3561294,21,43,389,24188,0
HUMAITA,-22.9546413,-43.2004797,53,49,818,14614,0
INHAUMA,-22.871547600000003,-43.2823466,116,133,1775,50268,2
INHOAIBA,-22.9131775,-43.5932975,70,147,960,71114,2
IPANEMA,-22.9839557,-43.2022163,233,179,2358,47017,1
IRAJA,-22.8351129,-43.3233619,149,258,2547,106020,1
ITANHANGA,-22.9870911,-43.3049379,52,35,889,42257,0
JACARE,-22.8931174,-43.2571998,43,45,960,10204,0
JACAREPAGUA,-22.9665038,-43.3713193,302,265,4578,173059,1
JACAREZINHO,-22.8875068,-43.2578789,7,22,346,41623,0
JARDIM AMERICA,-22.810005,-43.323212,44,66,764,27749,0
JARDIM BOTANICO,-22.968384550000003,-43.22869449858106,83,31,1145,19810,0
JARDIM CARIOCA,-22.805249300000003,-43.1931949,61,70,614,27333,0
JARDIM GUANABARA,-22.8128362,-43.2007792,90,73,1018,35434,2
JARDIM SULACAP,-22.8956799,-43.3929967,45,63,640,14368,0
JOA,-23.0077797,-43.2872344,2,3,46,900,0
LAGOA,-22.9624658,-43.20248839999999,83,52,1255,23318,0
LAPA,-22.9130257,-43.1822358,2,0,78,43453,0
LARANJEIRAS,-22.9343173,-43.1878165,125,138,1945,50109,2
LEBLON,-22.983556,-43.22493770000001,246,146,2967,50648,1
LEME,-22.961704,-43.16690420000001,40,35,542,16279,0
LINS DE VASCONCELOS,-22.9140512,-43.2843528,90,95,896,41236,2
MADUREIRA,-22.871658,-43.3371976,59,133,1067,55117,2
MAGALHAES BASTOS,-22.8725117,-43.4136384,25,66,533,26873,0
MANGUEIRA,-22.902172600000004,-43.2366933,10,21,365,19619,0
MANGUINHOS,-22.8796755,-43.2508881,33,44,753,39776,0
MARACANA,-22.91216195,-43.23117510590559,37,79,1359,27782,0
MARE,-22.8592368,-43.2425729,90,125,1820,142747,2
MARECHAL HERMES,-22.8599658,-43.3704561,73,144,979,52867,2
MARIA DA GRACA,-22.8830403,-43.2638849,13,22,340,8769,0
MEIER,-22.9026425,-43.2817263,174,152,2702,54811,2
MONERO,-22.7964947,-43.197406,27,18,183,7124,0
OLARIA,-22.1196788,-45.1340635,84,138,1624,63265,2
OSWALDO CRUZ,-22.8690705,-43.3503265,55,107,694,37444,0
PACIENCIA,-22.8987,-43.63695560000001,71,222,2823,104089,2
PADRE MIGUEL,-22.8788135,-43.44855689999999,51,222,1063,70651,2
PAQUETA,-22.758926100000004,-43.109199200000006,4,8,195,3697,0
PARADA DE LUCAS,-22.816702300000006,-43.3012102,23,47,413,26315,0
PARQUE ANCHIETA,-22.8351687,-43.4155827,42,96,485,28833,0
PARQUE COLUMBIA,-22.8138907,-43.3424983,4,8,50,10122,0
PAVUNA,-22.8121927,-43.3592811,98,175,1432,107085,2
PECHINCHA,-22.928988,-43.3534191,137,123,1580,38180,2
PEDRA DE GUARATIBA,-22.9983546,-43.6388666,16,50,219,10437,0
PENHA,-22.8381127,-43.2764454,108,137,1748,86546,2
PENHA CIRCULAR,-22.8326425,-43.2842228,69,84,987,52598,2
PIEDADE,-22.8926665,-43.3110001,76,122,1442,47716,2
PILARES,-22.8790904,-43.2955477,54,82,934,29975,0
